id,first_name,last_name,gameweek_18_points
1,Shkodran,Mustafi,0.0
2,Héctor,Bellerín,0.0
3,Sead,Kolasinac,0.0
4,Ainsley,Maitland-Niles,1.0
5,Sokratis,Papastathopoulos,0.0
6,Nacho,Monreal,0.0
7,Laurent,Koscielny,0.0
8,Konstantinos,Mavropanos,0.0
9,Carl,Jenkinson,0.0
10,Rob,Holding,0.0
11,Pierre-Emerick,Aubameyang,0.0
12,Alexandre,Lacazette,0.0
13,Edward,Nketiah,0.0
14,Bernd,Leno,1.0
15,Mesut,Özil,0.0
16,Henrikh,Mkhitaryan,0.0
17,Alex,Iwobi,0.0
18,Granit,Xhaka,0.0
19,Lucas,Torreira,0.0
20,Mohamed,Elneny,0.0
21,Matteo,Guendouzi,0.0
22,Ahmed,El Mohamady,0.0
23,James,Chester,0.0
24,Neil,Taylor,0.0
25,Kortney,Hause,0.0
26,Jonathan,Kodjia,0.0
27,Ørjan,Nyland,0.0
28,Conor,Hourihane,0.0
29,Jack,Grealish,2.0
30,Anwar,El Ghazi,0.0
31,John,McGinn,0.0
32,Andre,Green,0.0
33,Birkir,Bjarnason,0.0
34,Keinan,Davis,0.0
35,Henri,Lansbury,0.0
36,José Ignacio,Peleteiro Romallo,0.0
37,Shane,Duffy,0.0
38,Martín,Montoya,0.0
39,Bernardo,Fernandes da Silva Junior,0.0
40,Leon,Balogun,0.0
41,Gaëtan,Bong,0.0
42,Lewis,Dunk,0.0
43,Matthew,Clarke,0.0
44,Glenn,Murray,0.0
45,Jürgen,Locadia,0.0
46,Florin,Andone,0.0
47,Mathew,Ryan,0.0
48,David,Button,0.0
49,Pascal,Groß,0.0
50,Alireza,Jahanbakhsh,0.0
51,José Heriberto,Izquierdo Mena,0.0
52,Anthony,Knockaert,0.0
53,Yves,Bissouma,0.0
54,Davy,Pröpper,0.0
55,Solomon,March,0.0
56,Beram,Kayal,0.0
57,Dale,Stephens,0.0
58,Steve,Cook,0.0
59,Nathan,Aké,0.0
60,Charlie,Daniels,0.0
61,Chris,Mepham,0.0
62,Simon,Francis,0.0
63,Adam,Smith,0.0
64,Lloyd,Kelly,0.0
65,Diego,Rico,0.0
66,Jack,Simpson,0.0
67,Callum,Wilson,0.0
68,Joshua,King,0.0
69,Dominic,Solanke,0.0
70,Lys,Mousset,0.0
71,Sam,Surridge,0.0
72,Asmir,Begovic,0.0
73,Artur,Boruc,0.0
74,Mark,Travers,0.0
75,Ryan,Fraser,0.0
76,David,Brooks,0.0
77,Junior,Stanislas,0.0
78,Jordon,Ibe,0.0
79,Lewis,Cook,0.0
80,Andrew,Surman,0.0
81,Dan,Gosling,0.0
82,Jefferson,Lerma,0.0
83,Ben,Mee,1.0
84,James,Tarkowski,1.0
85,Matthew,Lowton,0.0
86,Phil,Bardsley,1.0
87,Charlie,Taylor,1.0
88,Kevin,Long,0.0
89,Ben,Gibson,0.0
90,Ashley,Barnes,0.0
91,Chris,Wood,0.0
92,Matej,Vydra,0.0
93,Nick,Pope,1.0
94,Tom,Heaton,0.0
95,Joe,Hart,0.0
96,Johann Berg,Gudmundsson,0.0
97,Dwight,McNeil,0.0
98,Robbie,Brady,0.0
99,Steven,Defour,0.0
100,Jeff,Hendrick,0.0
101,Ashley,Westwood,1.0
102,Jack,Cork,0.0
103,Marcos,Alonso,2.0
104,Antonio,Rüdiger,1.0
105,César,Azpilicueta,1.0
106,David,Luiz Moreira Marinho,2.0
107,Emerson,Palmieri dos Santos,0.0
108,Andreas,Christensen,0.0
109,Davide,Zappacosta,0.0
110,Olivier,Giroud,0.0
111,Kepa,Arrizabalaga,1.0
112,Willy,Caballero,0.0
113,Willian,Borges Da Silva,2.0
114,Pedro,Rodríguez Ledesma,0.0
115,Ruben,Loftus-Cheek,0.0
116,Callum,Hudson-Odoi,0.0
117,Ross,Barkley,0.0
118,Jorge Luiz,Frello Filho,0.0
119,N'Golo,Kanté,0.0
120,Daniel,Drinkwater,0.0
121,Ethan,Ampadu,0.0
122,Aaron,Wan-Bissaka,0.0
123,Patrick,van Aanholt,0.0
124,James,Tomkins,0.0
125,Mamadou,Sakho,0.0
126,Joel,Ward,0.0
127,Scott,Dann,0.0
128,Martin,Kelly,0.0
129,Christian,Benteke,0.0
130,Connor,Wickham,0.0
131,Vicente,Guaita,0.0
132,Wayne,Hennessey,0.0
133,Wilfried,Zaha,0.0
134,Luka,Milivojevic,0.0
135,Andros,Townsend,0.0
136,Max,Meyer,0.0
137,Jeffrey,Schlupp,0.0
138,James,McArthur,0.0
139,Cheikhou,Kouyaté,0.0
140,Luke,Dreher,0.0
141,Lucas,Digne,2.0
142,Yerry,Mina,1.0
143,Michael,Keane,0.0
144,Seamus,Coleman,0.0
145,Leighton,Baines,0.0
146,Cenk,Tosun,0.0
147,Dominic,Calvert-Lewin,0.0
148,Jordan,Pickford,1.0
149,Maarten,Stekelenburg,0.0
150,Richarlison,de Andrade,0.0
151,Gylfi,Sigurdsson,0.0
152,Bernard,Anício Caldeira Duarte,0.0
153,Theo,Walcott,0.0
154,Tom,Davies,0.0
155,Ademola,Lookman,0.0
156,Idrissa,Gueye,0.0
157,James,McCarthy,0.0
158,Morgan,Schneiderlin,0.0
159,Ricardo Domingos,Barbosa Pereira,0.0
160,Harry,Maguire,0.0
161,Benjamin,Chilwell,0.0
162,Jonny,Evans,0.0
163,Christian,Fuchs,0.0
164,Çaglar,Söyüncü,0.0
165,Wes,Morgan,0.0
166,Jamie,Vardy,2.0
167,Kelechi,Iheanacho,0.0
168,Kasper,Schmeichel,1.0
169,Eldin,Jakupovic,0.0
170,Danny,Ward,0.0
171,James,Maddison,0.0
172,Harvey,Barnes,1.0
173,Rachid,Ghezzal,0.0
174,Marc,Albrighton,0.0
175,Demarai,Gray,0.0
176,Wilfred,Ndidi,0.0
177,Matty,James,0.0
178,Daniel,Amartey,0.0
179,Nampalys,Mendy,0.0
180,Hamza,Choudhury,0.0
181,Andrew,Robertson,0.0
182,Trent,Alexander-Arnold,0.0
183,Virgil,van Dijk,0.0
184,Joseph,Gomez,0.0
185,Joel,Matip,0.0
186,Dejan,Lovren,0.0
187,Roberto,Firmino,0.0
188,Divock,Origi,0.0
189,Alisson,Ramses Becker,0.0
190,Simon,Mignolet,0.0
191,Mohamed,Salah,0.0
192,Sadio,Mané,0.0
193,Alex,Oxlade-Chamberlain,0.0
194,Xherdan,Shaqiri,0.0
195,Adam,Lallana,0.0
196,Naby,Keita,0.0
197,Fabio Henrique,Tavares,0.0
198,Jordan,Henderson,0.0
